Koordinatensystem : Lambert konform konisch
Rechtswert        : 4224500 Meter
Hochwert          : 2861500 Meter
Hoehenlage        : 40 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4224500 2861500  1  1  1   0.4 1011 294  5.6 7  3.5  90    0    0 301 -303  1
4224500 2861500  1  1  2   0.9 1011 274  6.8 7  3.6  90    0    0 301 -303  1
4224500 2861500  1  1  3   1.4 1010 258  7.8 8  3.7  89    0    0 300 -305  1
4224500 2861500  1  1  4   1.6 1010 258  8.1 8  3.7  88    0    0 298 -306  1
4224500 2861500  1  1  5   1.8 1009 257  8.3 8  3.7  87    0    0 297 -307  1
4224500 2861500  1  1  6   2.0 1007 259  9.0 8  3.8  86    0    0 298 -307  1
4224500 2861500  1  1  7   2.3 1006 260  8.9 8  3.8  86    0    0 299 -309  1
4224500 2861500  1  1  8   2.3 1005 260  9.1 8  3.9  88    0    0 301 -310  1
4224500 2861500  1  1  9   2.7 1005 270  8.9 8  4.1  90    0    9 304 -311  1
4224500 2861500  1  1 10   3.1 1005 280  8.3 8  4.2  89    0   30 306 -312  1
4224500 2861500  1  1 11   3.4 1005 280  8.2 7  4.1  85    0   45 303 -314  1
4224500 2861500  1  1 12   3.6 1005 280  8.8 7  4.0  81    0   53 298 -315  1
4224500 2861500  1  1 13   3.6 1005 280  8.1 7  3.8  77    0   44 297 -315  1
4224500 2861500  1  1 14   3.6 1005 290  8.2 7  3.7  75    0   42 298 -314  1
4224500 2861500  1  1 15   3.4 1005 280  7.6 6  3.6  74    0   35 291 -313  1
4224500 2861500  1  1 16   3.3 1005 290  6.7 8  3.6  74    0    4 298 -311  1
4224500 2861500  1  1 17   3.2 1006 290  6.1 8  3.6  74    0    0 310 -308  1
4224500 2861500  1  1 18   3.1 1007 289  6.0 8  3.5  74    0    0 311 -306  1
4224500 2861500  1  1 19   2.9 1007 278  5.4 7  3.6  75    0    0 305 -305  1
4224500 2861500  1  1 20   2.7 1007 279  5.2 7  3.5  76    0    0 297 -303  1
4224500 2861500  1  1 21   2.4 1007 280  4.8 6  3.5  77    0    0 288 -300  1
4224500 2861500  1  1 22   2.1 1008 281  4.8 5  3.5  79    0    0 276 -297  1
4224500 2861500  1  1 23   2.1 1008 290  5.3 6  3.4  77    0    0 275 -295  1
4224500 2861500  1  1 24   1.9 1008 280  5.4 7  3.3  76    0    0 284 -294  1
4224500 2861500  1  2  1   1.7 1008 290  5.9 6  3.3  76    0    0 281 -293  1
4224500 2861500  1  2  2   1.6 1008 291  5.8 7  3.4  78    0    0 278 -291  1
4224500 2861500  1  2  3   1.3 1009 290  5.6 7  3.4  80    0    0 282 -289  1
4224500 2861500  1  2  4   1.1 1009 290  5.9 6  3.3  80    0    0 275 -287  1
4224500 2861500  1  2  5   1.0 1009 300  5.0 6  3.3  80    0    0 268 -287  1
4224500 2861500  1  2  6   1.1 1009 290  5.1 7  3.3  81    0    0 272 -286  1
4224500 2861500  1  2  7   0.9 1009 290  4.4 8  3.3  80    0    0 280 -286  1
4224500 2861500  1  2  8   0.8 1009 281  4.9 7  3.2  80    0    0 278 -287  1
